Date,Spot,Index
19-Feb-10,4844.9,Nifty
19-Feb-10,4794,Nifty 100
19-Feb-10,2602.34,Nifty 200
19-Feb-10,4102.7,Nifty 500
19-Feb-10,6584.49,Nifty EQW
19-Feb-10,6018.14,Nifty TRI
19-Feb-10,3639.72,Pharma
19-Feb-10,419.48,Realty
19-Feb-10,3451.88,Small Cap
19-Feb-10,30.45,VIX
26-Feb-10,3021.39,Auto
26-Feb-10,8722.75,Bank
26-Feb-10,8691.36,Energy
26-Feb-10,3496.04,Finance
26-Feb-10,6885.71,FMCG
26-Feb-10,16.5064,GoldBees
26-Feb-10,3250.9,Infra
26-Feb-10,5766.7,IT
26-Feb-10,10099.95,Nifty Next 50
26-Feb-10,1558.65,Media
26-Feb-10,4382.69,Metal
26-Feb-10,7167.25,Mid Cap
26-Feb-10,2515.65,Mid Cap 50
26-Feb-10,4922.3,Nifty
26-Feb-10,4864.8,Nifty 100
26-Feb-10,2621.7,Nifty 200
26-Feb-10,4127.55,Nifty 500
26-Feb-10,6691.3,Nifty EQW
26-Feb-10,6114.27,Nifty TRI
26-Feb-10,3693.81,Pharma
26-Feb-10,426.99,Realty
26-Feb-10,3405.99,Small Cap
26-Feb-10,25.24,VIX
05-Mar-10,3180.22,Auto
05-Mar-10,9038.45,Bank
05-Mar-10,8777.82,Energy
05-Mar-10,3605.12,Finance
05-Mar-10,7177.39,FMCG
05-Mar-10,16.7142,GoldBees
05-Mar-10,3393.78,Infra
05-Mar-10,5843.2,IT
05-Mar-10,10665.2,Nifty Next 50
05-Mar-10,1693.99,Media
05-Mar-10,4698.1,Metal
05-Mar-10,7584.7,Mid Cap
05-Mar-10,2667.05,Mid Cap 50
05-Mar-10,5088.7,Nifty
05-Mar-10,5046.6,Nifty 100
05-Mar-10,2708.17,Nifty 200
05-Mar-10,4270.25,Nifty 500
05-Mar-10,6929.55,Nifty EQW
05-Mar-10,6320.95,Nifty TRI
05-Mar-10,3783.07,Pharma
05-Mar-10,455.18,Realty
05-Mar-10,3577.21,Small Cap
05-Mar-10,21,VIX
12-Mar-10,3173.82,Auto
12-Mar-10,9172.9,Bank
12-Mar-10,8757.53,Energy
12-Mar-10,3672.41,Finance
12-Mar-10,7155.09,FMCG
12-Mar-10,16.3741,GoldBees
12-Mar-10,3337.68,Infra
12-Mar-10,5960.65,IT
12-Mar-10,10508.85,Nifty Next 50
12-Mar-10,1674.88,Media
12-Mar-10,4675.41,Metal
12-Mar-10,7503.1,Mid Cap
12-Mar-10,2639.45,Mid Cap 50
12-Mar-10,5137,Nifty
12-Mar-10,5074.6,Nifty 100
12-Mar-10,2697.52,Nifty 200
12-Mar-10,4253.35,Nifty 500
12-Mar-10,6958.52,Nifty EQW
12-Mar-10,6381,Nifty TRI
12-Mar-10,3801.24,Pharma
12-Mar-10,444.1,Realty
12-Mar-10,3559.75,Small Cap
12-Mar-10,19.82,VIX
19-Mar-10,3202.43,Auto
19-Mar-10,9270.8,Bank
19-Mar-10,8934.65,Energy
19-Mar-10,3694.82,Finance
19-Mar-10,7216.05,FMCG
19-Mar-10,16.4409,GoldBees
19-Mar-10,3409.43,Infra
19-Mar-10,6145.45,IT
19-Mar-10,10607,Nifty Next 50
19-Mar-10,1676.43,Media
19-Mar-10,4828.27,Metal
19-Mar-10,7601.85,Mid Cap
19-Mar-10,2684,Mid Cap 50
19-Mar-10,5262.8,Nifty
19-Mar-10,5186.55,Nifty 100
19-Mar-10,2742.86,Nifty 200
19-Mar-10,4324,Nifty 500
19-Mar-10,7089.07,Nifty EQW
19-Mar-10,6538.14,Nifty TRI
19-Mar-10,3893.77,Pharma
19-Mar-10,437.34,Realty
19-Mar-10,3598.53,Small Cap
19-Mar-10,18.94,VIX
26-Mar-10,3195.92,Auto
26-Mar-10,9456.2,Bank
26-Mar-10,8993.22,Energy
26-Mar-10,3730.96,Finance
26-Mar-10,7300.63,FMCG
26-Mar-10,16.0372,GoldBees
26-Mar-10,3387.26,Infra
26-Mar-10,6151.9,IT
26-Mar-10,10691.45,Nifty Next 50
26-Mar-10,1692.36,Media
26-Mar-10,4818.21,Metal
26-Mar-10,7656.9,Mid Cap
26-Mar-10,2694.8,Mid Cap 50
26-Mar-10,5282,Nifty
26-Mar-10,5209,Nifty 100
26-Mar-10,2735.8,Nifty 200
26-Mar-10,4312.95,Nifty 500
26-Mar-10,7089.63,Nifty EQW
26-Mar-10,6562.47,Nifty TRI
26-Mar-10,4005.49,Pharma
26-Mar-10,417.91,Realty
26-Mar-10,3586.52,Small Cap
26-Mar-10,18.23,VIX
01-Apr-10,3207,Auto
01-Apr-10,9507.75,Bank
01-Apr-10,9056.16,Energy
01-Apr-10,3775.36,Finance
01-Apr-10,7264.26,FMCG
01-Apr-10,16.1534,GoldBees
01-Apr-10,3428.89,Infra
01-Apr-10,5984,IT
01-Apr-10,10829.35,Nifty Next 50
01-Apr-10,1682.36,Media
01-Apr-10,4923.17,Metal
01-Apr-10,7774.1,Mid Cap
01-Apr-10,2712.95,Mid Cap 50
01-Apr-10,5290.5,Nifty
01-Apr-10,5226.7,Nifty 100
01-Apr-10,2751.97,Nifty 200
01-Apr-10,4345.2,Nifty 500
01-Apr-10,7119.31,Nifty EQW
01-Apr-10,6572.99,Nifty TRI
01-Apr-10,4020.44,Pharma
01-Apr-10,432.38,Realty
01-Apr-10,3659.11,Small Cap
01-Apr-10,18.09,VIX
